user_id,user_segment,avg_order_value,preferred_cuisines,spiciness_preference,sweetness_preference,home_zone_id
U0001,Premium,1143,Biryani|Asian|North Indian|Continental,0.39,0.52,Lavelle Road
U0002,Premium,849,Continental|Biryani|Asian,0.58,0.57,Indiranagar
U0003,Mid,444,Pizza|Asian|Continental,0.31,0.41,Church Street
U0004,Budget,199,South Indian|Pizza,0.53,0.22,Residency Road
U0005,Mid,407,Continental|Biryani|South Indian|Asian,0.57,0.51,Jayanagar
U0006,Mid,378,Biryani|Asian,0.31,0.49,Koramangala
U0007,Budget,214,North Indian|Continental,0.62,0.37,Electronic City
U0008,Mid,507,Biryani|Pizza|Asian|Burgers,0.47,0.21,Koramangala
U0009,Mid,337,Asian|Burgers|North Indian,0.44,0.4,Jayanagar
U0010,Budget,262,Continental|South Indian,0.55,0.45,Lavelle Road
U0011,Budget,250,Burgers|South Indian|North Indian,0.72,0.45,Marathahalli
U0012,Premium,611,Biryani|Asian,0.42,0.52,Electronic City
U0013,Mid,343,North Indian|South Indian|Continental|Burgers,0.42,0.5,Bellandur
U0014,Budget,214,Asian|Biryani|Pizza|Continental,0.48,0.25,Jayanagar
U0015,Budget,167,Continental|North Indian|Burgers|South Indian,0.5,0.26,Lavelle Road
U0016,Budget,167,North Indian|Pizza|Asian,0.76,0.3,HSR Layout
U0017,Mid,486,Biryani|North Indian,0.62,0.58,Lavelle Road
U0018,Mid,523,Burgers|North Indian|Continental|Pizza,0.41,0.34,Shivajinagar
U0019,Budget,228,Pizza|Biryani|North Indian|South Indian,0.59,0.23,Whitefield
U0020,Budget,169,Burgers|Biryani|Pizza|Continental,0.69,0.47,Whitefield
U0021,Premium,1164,Continental|Burgers|South Indian|North Indian,0.3,0.66,Electronic City
U0022,Budget,300,Pizza|Asian|Biryani,0.69,0.29,Electronic City
U0023,Budget,152,Burgers|South Indian|Pizza|Asian,0.67,0.45,Shivajinagar
U0024,Budget,294,Burgers|Asian,0.78,0.4,Church Street
U0025,Premium,641,North Indian|Asian,0.29,0.5,Lavelle Road
U0026,Budget,202,Continental|Asian|Biryani,0.61,0.44,Koramangala
U0027,Premium,931,Asian|North Indian|Burgers|South Indian,0.24,0.69,Electronic City
U0028,Mid,487,Pizza|North Indian,0.54,0.56,Electronic City
U0029,Premium,828,Continental|Asian|Pizza,0.41,0.44,Residency Road
U0030,Mid,371,Burgers|North Indian|South Indian|Pizza,0.48,0.29,Bellandur
U0031,Budget,180,Burgers|Biryani|Continental,0.66,0.32,Church Street
U0032,Mid,382,Biryani|South Indian,0.56,0.36,Bellandur
U0033,Budget,281,South Indian|North Indian,0.42,0.37,Bellandur
U0034,Mid,507,Burgers|Asian,0.54,0.43,Basavanagudi
U0035,Premium,821,South Indian|Asian|Continental,0.38,0.7,HSR Layout
U0036,Mid,393,Burgers|Asian,0.55,0.4,Malleswaram
U0037,Premium,670,Biryani|South Indian,0.29,0.45,MG Road
U0038,Premium,1116,Biryani|South Indian|Continental|Asian,0.47,0.63,MG Road
U0039,Mid,347,Pizza|Biryani|Continental|Asian,0.49,0.25,Marathahalli
U0040,Premium,1142,Asian|Continental|North Indian,0.37,0.68,Rajajinagar
U0041,Mid,430,North Indian|Pizza,0.49,0.29,Hennur
U0042,Budget,151,Pizza|Biryani|Asian|Burgers,0.68,0.44,Electronic City
U0043,Mid,461,Burgers|Pizza|North Indian,0.46,0.24,Indiranagar
U0044,Premium,1033,Continental|South Indian|Asian|Pizza,0.43,0.54,Bellandur
U0045,Budget,292,North Indian|Burgers|Continental|South Indian,0.59,0.5,Rajajinagar
U0046,Mid,528,South Indian|Pizza,0.61,0.58,Electronic City
U0047,Mid,581,South Indian|Continental,0.55,0.47,Residency Road
U0048,Premium,748,Biryani|North Indian,0.39,0.54,Lavelle Road
U0049,Budget,159,Pizza|Burgers|Asian,0.69,0.48,Basavanagudi
U0050,Mid,329,Continental|Asian|Biryani|South Indian,0.68,0.53,MG Road
U0051,Budget,158,South Indian|Pizza|Asian|Biryani,0.71,0.35,Marathahalli
U0052,Budget,150,Asian|Continental|North Indian,0.79,0.23,Electronic City
U0053,Mid,402,Biryani|Pizza,0.51,0.49,Basavanagudi
U0054,Mid,586,South Indian|Pizza|Asian,0.67,0.34,Shivajinagar
U0055,Premium,1188,Biryani|Pizza|Asian|North Indian,0.2,0.37,Malleswaram
U0056,Premium,1125,North Indian|Burgers|Continental|Pizza,0.58,0.65,Church Street
U0057,Mid,473,Pizza|Biryani|Continental,0.68,0.38,Rajajinagar
U0058,Budget,247,Burgers|South Indian|North Indian|Continental,0.65,0.5,Marathahalli
U0059,Mid,304,Biryani|Continental|North Indian,0.58,0.31,Jayanagar
U0060,Mid,391,North Indian|South Indian|Burgers|Continental,0.49,0.34,Whitefield
U0061,Budget,211,Asian|South Indian,0.75,0.26,Marathahalli
U0062,Budget,177,Continental|Pizza|Biryani|Burgers,0.45,0.22,Church Street
U0063,Budget,230,Asian|North Indian|Continental|South Indian,0.6,0.5,MG Road
U0064,Budget,206,Asian|Continental|Burgers|Biryani,0.7,0.24,MG Road
U0065,Budget,194,Continental|North Indian|Biryani|Pizza,0.58,0.24,Whitefield
U0066,Budget,175,South Indian|Pizza|North Indian,0.53,0.38,Lavelle Road
U0067,Budget,237,Continental|Burgers,0.55,0.35,Marathahalli
U0068,Budget,252,Pizza|Burgers,0.51,0.25,Lavelle Road
U0069,Premium,876,South Indian|Asian|Burgers,0.52,0.52,Church Street
U0070,Premium,780,Pizza|Asian|North Indian|Continental,0.37,0.35,Basavanagudi
U0071,Budget,295,Biryani|South Indian,0.42,0.23,Indiranagar
U0072,Mid,349,North Indian|Pizza|Burgers,0.48,0.33,Indiranagar
U0073,Budget,255,South Indian|Pizza|Burgers|Asian,0.45,0.46,Basavanagudi
U0074,Budget,280,Continental|Pizza,0.59,0.42,Basavanagudi
U0075,Mid,374,Continental|Burgers|Pizza,0.65,0.46,Electronic City
U0076,Premium,673,North Indian|Burgers|Asian,0.23,0.44,Indiranagar
U0077,Mid,502,Burgers|Pizza|Asian,0.41,0.38,Shivajinagar
U0078,Mid,394,Burgers|North Indian,0.64,0.25,Jayanagar
U0079,Budget,251,Pizza|Biryani|Burgers,0.44,0.22,Electronic City
U0080,Mid,342,Burgers|Continental,0.34,0.45,Basavanagudi
U0081,Budget,222,Asian|South Indian|Biryani|Pizza,0.58,0.24,Marathahalli
U0082,Premium,933,North Indian|Pizza|Continental|South Indian,0.55,0.49,Bellandur
U0083,Mid,533,Continental|Pizza|Burgers|North Indian,0.55,0.45,Marathahalli
U0084,Mid,416,Continental|North Indian|South Indian,0.62,0.38,Basavanagudi
U0085,Budget,283,North Indian|Continental|Pizza,0.73,0.45,Residency Road
U0086,Mid,551,Asian|Continental,0.68,0.39,Basavanagudi
U0087,Mid,303,Continental|Asian|South Indian|Pizza,0.52,0.28,Electronic City
U0088,Premium,825,Pizza|Asian,0.31,0.47,Indiranagar
U0089,Budget,286,South Indian|Asian,0.72,0.32,Basavanagudi
U0090,Budget,266,Continental|South Indian|North Indian|Biryani,0.65,0.28,HSR Layout
U0091,Budget,286,North Indian|South Indian|Continental,0.41,0.49,Residency Road
U0092,Budget,188,North Indian|Continental|Asian,0.41,0.27,Shivajinagar
U0093,Mid,316,Biryani|North Indian,0.43,0.54,Electronic City
U0094,Budget,270,Asian|Continental|Biryani,0.47,0.47,Rajajinagar
U0095,Premium,854,Burgers|Biryani,0.35,0.69,Whitefield
U0096,Mid,348,Continental|Burgers|North Indian,0.51,0.59,Malleswaram
U0097,Budget,160,North Indian|Continental,0.7,0.36,Basavanagudi
U0098,Budget,163,South Indian|Burgers,0.75,0.27,Hennur
U0099,Budget,192,Asian|South Indian|Biryani,0.72,0.38,Koramangala
U0100,Mid,543,South Indian|Asian,0.58,0.26,Church Street
U0101,Budget,236,Biryani|Asian|North Indian|South Indian,0.77,0.5,Rajajinagar
U0102,Budget,209,Asian|North Indian|Continental|South Indian,0.53,0.37,Residency Road
U0103,Mid,483,Continental|Burgers,0.59,0.3,Shivajinagar
U0104,Mid,577,Pizza|North Indian,0.58,0.28,Malleswaram
U0105,Mid,440,South Indian|Biryani|Pizza|Asian,0.65,0.44,Shivajinagar
U0106,Budget,217,Pizza|Continental|South Indian|Biryani,0.62,0.34,Marathahalli
U0107,Mid,422,Asian|Continental|South Indian|Burgers,0.43,0.23,HSR Layout
U0108,Mid,465,Pizza|Burgers,0.46,0.33,Jayanagar
U0109,Budget,183,Continental|South Indian,0.47,0.21,Rajajinagar
U0110,Budget,249,Pizza|North Indian|Biryani|Burgers,0.66,0.36,Lavelle Road
U0111,Mid,336,Continental|Biryani|Asian|Burgers,0.31,0.57,Marathahalli
U0112,Mid,512,Asian|Pizza,0.63,0.52,Indiranagar
U0113,Mid,336,Pizza|Biryani,0.63,0.23,Rajajinagar
U0114,Mid,572,South Indian|Pizza|Asian|Continental,0.45,0.28,Rajajinagar
U0115,Mid,595,Continental|Biryani|South Indian|Pizza,0.44,0.38,Electronic City
U0116,Mid,380,North Indian|Pizza|Asian,0.51,0.44,Marathahalli
U0117,Mid,520,Pizza|Asian,0.63,0.33,Whitefield
U0118,Budget,290,Continental|Asian|Biryani,0.77,0.28,Koramangala
U0119,Premium,616,Biryani|North Indian|South Indian,0.41,0.7,Whitefield
U0120,Premium,622,Pizza|Asian|Burgers,0.51,0.68,HSR Layout
U0121,Budget,267,Pizza|South Indian|Burgers,0.54,0.24,Indiranagar
U0122,Premium,694,Burgers|Biryani,0.43,0.53,Malleswaram
U0123,Mid,388,Pizza|Biryani|Asian|North Indian,0.5,0.56,Koramangala
U0124,Mid,595,North Indian|Continental|Burgers,0.45,0.51,Rajajinagar
U0125,Premium,832,Burgers|Asian,0.5,0.64,Electronic City
U0126,Budget,284,North Indian|Pizza,0.42,0.36,Lavelle Road
U0127,Budget,250,Pizza|Biryani|South Indian|Continental,0.79,0.43,Basavanagudi
U0128,Mid,375,Burgers|Biryani|Pizza|Continental,0.35,0.23,Indiranagar
U0129,Budget,278,Continental|Pizza,0.57,0.41,Whitefield
U0130,Mid,592,Pizza|South Indian|Burgers|Biryani,0.38,0.45,Indiranagar
U0131,Mid,465,Burgers|Continental,0.57,0.43,Hennur
U0132,Budget,198,Asian|North Indian,0.53,0.38,Bellandur
U0133,Premium,1052,South Indian|Burgers,0.45,0.48,Marathahalli
U0134,Budget,171,South Indian|North Indian|Biryani|Burgers,0.44,0.22,Rajajinagar
U0135,Budget,270,South Indian|Asian|Pizza|North Indian,0.41,0.26,Church Street
U0136,Mid,372,Pizza|Burgers|Asian,0.58,0.47,Koramangala
U0137,Budget,165,North Indian|Biryani|Continental|Burgers,0.51,0.44,Jayanagar
U0138,Budget,219,Asian|Biryani|Burgers,0.67,0.47,Basavanagudi
U0139,Premium,995,Biryani|North Indian|Continental|Asian,0.29,0.45,Bellandur
U0140,Budget,267,South Indian|Pizza,0.62,0.41,Basavanagudi
U0141,Budget,250,North Indian|Asian|Burgers|South Indian,0.7,0.21,MG Road
U0142,Budget,165,Pizza|North Indian,0.65,0.46,Lavelle Road
U0143,Budget,250,Pizza|Burgers|Asian,0.66,0.23,Lavelle Road
