item_id,restaurant_id,item_name,item_category,price_inr,is_veg,taste_vector,global_popularity
I0001,R001,Masala Dosa,Main,92,Y,"0.21,0.13,0.45,0.6",0.87
I0002,R001,Rava Idli,Main,87,Y,"0.02,0.0,0.33,0.17",0.6
I0003,R001,Bisi Bele Bath,Main,106,Y,"0.43,0.14,0.54,0.11",0.75
I0004,R001,Medu Vada,Main,67,Y,"0.25,0.0,0.38,0.2",0.75
I0005,R001,Uttapam,Main,97,Y,"0.14,0.0,0.35,0.21",0.85
I0006,R001,Coconut Chutney,Side,35,Y,"0.0,0.05,0.14,0.19",0.88
I0007,R001,Sambar,Side,25,Y,"0.24,0.0,0.48,0.33",0.48
I0008,R001,Ghee,Side,15,Y,"0.0,0.21,0.05,0.02",0.89
I0009,R001,Tomato Chutney,Side,22,Y,"0.07,0.1,0.23,0.5",0.82
I0010,R001,Filter Coffee,Drink,57,Y,"0.0,0.33,0.16,0.0",0.43
I0011,R001,Buttermilk,Drink,32,Y,"0.02,0.0,0.15,0.41",0.92
I0012,R001,Lassi,Drink,71,Y,"0.04,0.44,0.11,0.05",0.75
I0013,R001,Onion Pakoda,Starter,73,Y,"0.26,0.0,0.2,0.24",0.8
I0014,R001,Mysore Bonda,Starter,76,Y,"0.25,0.1,0.22,0.13",0.86
I0015,R001,Mysore Pak,Dessert,66,Y,"0.02,0.83,0.15,0.01",0.83
I0016,R001,Kesari Bath,Dessert,56,Y,"0.08,0.82,0.1,0.02",0.6
I0017,R002,Chicken Biryani,Main,236,N,"0.86,0.0,0.45,0.21",0.44
I0018,R002,Mutton Biryani,Main,293,N,"0.8,0.0,0.55,0.15",0.47
I0019,R002,Veg Biryani,Main,185,Y,"0.59,0.0,0.41,0.22",0.93
I0020,R002,Prawn Biryani,Main,339,N,"0.71,0.05,0.44,0.26",0.95
I0021,R002,Egg Biryani,Main,210,N,"0.57,0.08,0.39,0.15",0.44
I0022,R002,Raita,Side,30,Y,"0.02,0.05,0.14,0.21",0.75
I0023,R002,Mirchi Ka Salan,Side,47,Y,"0.61,0.0,0.27,0.4",0.55
I0024,R002,Brinjal Curry,Side,65,Y,"0.44,0.0,0.49,0.31",0.66
I0025,R002,Lime Soda,Drink,65,Y,"0.0,0.08,0.02,0.73",0.59
I0026,R002,Lassi,Drink,73,Y,"0.0,0.45,0.13,0.2",0.45
I0027,R002,Pepsi,Drink,42,Y,"0.05,0.56,0.02,0.14",0.69
I0028,R002,Chicken 65,Starter,174,N,"0.88,0.0,0.35,0.28",0.64
I0029,R002,Seekh Kebab,Starter,217,N,"0.77,0.0,0.53,0.11",0.41
I0030,R002,Veg Shami Kebab,Starter,142,Y,"0.59,0.07,0.33,0.1",0.52
I0031,R002,Kheer,Dessert,82,Y,"0.08,0.83,0.0,0.0",0.91
I0032,R002,Gulab Jamun,Dessert,85,Y,"0.0,0.98,0.19,0.1",0.71
I0033,R003,Margherita Pizza,Main,262,Y,"0.1,0.14,0.44,0.21",0.8
I0034,R003,Pepperoni Pizza,Main,311,N,"0.35,0.01,0.62,0.2",0.87
I0035,R003,BBQ Chicken Pizza,Main,345,N,"0.21,0.3,0.57,0.01",0.44
I0036,R003,Farmhouse Pizza,Main,307,Y,"0.15,0.02,0.48,0.15",0.73
I0037,R003,Paneer Tikka Pizza,Main,309,Y,"0.52,0.13,0.41,0.16",0.54
I0038,R003,Garlic Bread,Side,131,Y,"0.14,0.0,0.38,0.03",0.56
I0039,R003,Stuffed Garlic Bread,Side,160,Y,"0.19,0.09,0.4,0.02",0.71
I0040,R003,Coleslaw,Side,73,Y,"0.0,0.14,0.15,0.39",0.88
I0041,R003,Pepsi,Drink,78,Y,"0.0,0.46,0.09,0.21",0.57
I0042,R003,Mountain Dew,Drink,75,Y,"0.03,0.4,0.06,0.36",0.76
I0043,R003,Lemonade,Drink,100,Y,"0.08,0.15,0.08,0.85",0.49
I0044,R003,Pasta Arrabiata,Starter,179,Y,"0.62,0.04,0.24,0.43",0.55
I0045,R003,Chicken Wings,Starter,225,N,"0.65,0.18,0.31,0.23",0.86
I0046,R003,Choco Lava Cake,Dessert,141,Y,"0.0,1.0,0.13,0.0",0.81
I0047,R003,Tiramisu,Dessert,187,Y,"0.04,0.81,0.02,0.09",0.78
I0048,R004,Classic Burger,Main,174,N,"0.21,0.17,0.42,0.03",0.47
I0049,R004,Spicy Chicken Burger,Main,199,N,"0.67,0.19,0.49,0.11",0.6
I0050,R004,Veg Burger,Main,161,Y,"0.15,0.02,0.36,0.18",0.62
I0051,R004,Double Patty Burger,Main,259,N,"0.35,0.19,0.45,0.03",0.84
I0052,R004,Zinger Burger,Main,215,N,"0.68,0.0,0.45,0.17",0.91
I0053,R004,French Fries,Side,115,Y,"0.13,0.05,0.55,0.0",0.79
I0054,R004,Onion Rings,Side,122,Y,"0.17,0.07,0.44,0.06",0.65
I0055,R004,Coleslaw,Side,69,Y,"0.06,0.27,0.14,0.33",0.62
I0056,R004,Peri Peri Fries,Side,118,Y,"0.67,0.09,0.46,0.23",0.62
I0057,R004,Coca Cola,Drink,76,Y,"0.01,0.59,0.02,0.29",0.5
I0058,R004,Oreo Shake,Drink,170,Y,"0.1,0.81,0.12,0.0",0.83
I0059,R004,Vanilla Shake,Drink,143,Y,"0.02,0.8,0.08,0.02",0.54
I0060,R004,Chicken Popcorn,Starter,172,N,"0.39,0.0,0.56,0.14",0.92
I0061,R004,Mozzarella Sticks,Starter,193,Y,"0.13,0.07,0.41,0.03",0.58
I0062,R004,Soft Serve,Dessert,80,Y,"0.03,0.72,0.08,0.0",0.77
I0063,R004,Brownie Sundae,Dessert,150,Y,"0.0,0.96,0.03,0.0",0.92
I0064,R005,Grilled Chicken,Main,331,N,"0.25,0.0,0.41,0.08",0.86
I0065,R005,Pasta Aglio e Olio,Main,279,Y,"0.16,0.0,0.32,0.03",0.66
I0066,R005,Fish & Chips,Main,354,N,"0.24,0.0,0.56,0.19",0.8
I0067,R005,Risotto,Main,311,Y,"0.02,0.0,0.43,0.0",0.85
I0068,R005,Club Sandwich,Main,264,N,"0.05,0.0,0.46,0.03",0.43
I0069,R005,Caesar Salad,Side,185,Y,"0.02,0.05,0.29,0.28",0.72
I0070,R005,Soup of the Day,Side,162,Y,"0.14,0.0,0.25,0.13",0.4
I0071,R005,Dinner Roll,Side,74,Y,"0.07,0.18,0.26,0.0",0.84
I0072,R005,Fresh Lime Soda,Drink,92,Y,"0.0,0.0,0.0,0.97",0.65
I0073,R005,Iced Tea,Drink,105,Y,"0.0,0.21,0.01,0.26",0.82
I0074,R005,Cold Coffee,Drink,134,Y,"0.02,0.44,0.1,0.07",0.7
I0075,R005,Bruschetta,Starter,198,Y,"0.03,0.07,0.29,0.35",0.86
I0076,R005,Chicken Quesadilla,Starter,218,N,"0.35,0.0,0.43,0.15",0.44
I0077,R005,Cheesecake,Dessert,199,Y,"0.0,0.77,0.18,0.12",0.48
I0078,R005,Panna Cotta,Dessert,182,Y,"0.04,0.74,0.0,0.08",0.7
I0079,R006,Classic Burger,Main,183,N,"0.11,0.17,0.38,0.15",0.92
I0080,R006,Spicy Chicken Burger,Main,190,N,"0.77,0.15,0.38,0.1",0.59
I0081,R006,Veg Burger,Main,164,Y,"0.18,0.18,0.37,0.11",0.8
I0082,R006,Double Patty Burger,Main,265,N,"0.32,0.04,0.44,0.09",0.42
I0083,R006,Zinger Burger,Main,220,N,"0.63,0.16,0.44,0.27",0.91
I0084,R006,French Fries,Side,109,Y,"0.11,0.08,0.62,0.03",0.45
I0085,R006,Onion Rings,Side,123,Y,"0.03,0.0,0.41,0.0",0.52
I0086,R006,Coleslaw,Side,70,Y,"0.0,0.28,0.16,0.39",0.63
I0087,R006,Peri Peri Fries,Side,136,Y,"0.52,0.0,0.51,0.3",0.59
I0088,R006,Coca Cola,Drink,70,Y,"0.0,0.59,0.01,0.11",0.54
I0089,R006,Oreo Shake,Drink,166,Y,"0.0,0.83,0.03,0.03",0.71
I0090,R006,Vanilla Shake,Drink,136,Y,"0.0,0.75,0.07,0.02",0.93
I0091,R006,Chicken Popcorn,Starter,172,N,"0.32,0.06,0.59,0.02",0.41
I0092,R006,Mozzarella Sticks,Starter,179,Y,"0.12,0.18,0.48,0.09",0.51
I0093,R006,Soft Serve,Dessert,88,Y,"0.04,0.83,0.0,0.05",0.87
I0094,R006,Brownie Sundae,Dessert,159,Y,"0.06,1.0,0.11,0.0",0.69
I0095,R007,Margherita Pizza,Main,261,Y,"0.07,0.2,0.47,0.37",0.85
I0096,R007,Pepperoni Pizza,Main,313,N,"0.29,0.07,0.68,0.19",0.48
I0097,R007,BBQ Chicken Pizza,Main,345,N,"0.35,0.39,0.45,0.16",0.7
I0098,R007,Farmhouse Pizza,Main,295,Y,"0.19,0.17,0.42,0.16",0.54
I0099,R007,Paneer Tikka Pizza,Main,319,Y,"0.52,0.18,0.35,0.19",0.74
I0100,R007,Garlic Bread,Side,122,Y,"0.07,0.0,0.37,0.0",0.6
I0101,R007,Stuffed Garlic Bread,Side,158,Y,"0.07,0.08,0.54,0.0",0.41
