order_id,user_id,item_sequence,timestamp
ORD00001,U0014,I0003|I0009|I0010,2024-09-10 18:18:42
ORD00002,U0214,I0184|I0172|I0181,2024-10-23 10:04:30
ORD00003,U0186,I0607|I0597|I0605,2024-09-23 13:44:15
ORD00004,U0062,I0375|I0366|I0372,2024-08-13 06:20:46
ORD00005,U0237,I0125|I0131,2024-05-20 13:58:14
ORD00006,U0183,I0052|I0053,2024-07-18 08:40:58
ORD00007,U0094,I0106|I0099|I0109,2024-12-04 11:54:33
ORD00008,U0155,I0270|I0277,2024-02-07 15:22:55
ORD00009,U0074,I0003|I0008|I0011,2024-06-09 12:58:01
ORD00010,U0084,I0099|I0100|I0103,2024-11-04 20:39:54
ORD00011,U0270,I0544|I0553,2024-06-27 21:07:25
ORD00012,U0068,I0029|I0019|I0025,2024-11-13 13:38:09
ORD00013,U0268,I0335|I0338|I0344,2024-11-12 07:08:51
ORD00014,U0073,I0220|I0224,2024-01-31 13:48:04
ORD00015,U0058,I0067|I0070|I0072,2024-03-17 07:50:26
ORD00016,U0263,I0595|I0601|I0603,2024-01-26 11:00:12
ORD00017,U0050,I0111|I0123,2024-03-12 18:01:29
ORD00018,U0047,I0142|I0147|I0155,2024-05-16 08:32:20
ORD00019,U0124,I0525|I0517|I0527,2024-07-24 09:12:03
ORD00020,U0145,I0160|I0170,2024-10-08 07:13:45
ORD00021,U0259,I0487|I0488,2024-06-19 18:06:57
ORD00022,U0093,I0352|I0354|I0356|I0357,2024-06-07 07:20:07
ORD00023,U0064,I0469|I0474|I0477,2024-09-30 10:46:05
ORD00024,U0021,I0079|I0087,2024-04-20 13:47:00
ORD00025,U0160,I0456|I0459|I0462,2024-03-14 20:57:12
ORD00026,U0244,I0367|I0371|I0372,2024-06-02 13:42:02
ORD00027,U0044,I0113|I0117|I0120,2024-02-09 18:57:09
ORD00028,U0087,I0065|I0070,2024-03-18 16:25:27
ORD00029,U0063,I0222|I0225|I0233,2024-10-20 19:41:15
ORD00030,U0205,I0361|I0352|I0359,2024-04-18 08:29:56
ORD00031,U0056,I0113|I0115,2024-09-01 21:01:32
ORD00032,U0051,I0051|I0053|I0062,2024-05-28 17:20:52
ORD00033,U0079,I0313|I0302|I0316,2024-11-03 13:18:32
ORD00034,U0255,I0510|I0502|I0508,2024-01-07 22:02:59
ORD00035,U0221,I0112|I0116,2024-06-20 13:02:20
ORD00036,U0091,I0561|I0569,2024-03-04 13:08:06
ORD00037,U0160,I0390|I0383|I0389,2024-07-09 18:43:31
ORD00038,U0277,I0589|I0578|I0585,2024-05-31 10:37:15
ORD00039,U0194,I0627|I0635,2024-01-24 02:02:46
ORD00040,U0066,I0368|I0369,2024-10-24 20:21:30
ORD00041,U0195,I0107|I0098|I0104,2024-01-22 18:15:42
ORD00042,U0121,I0313|I0304|I0315,2024-05-11 08:34:23
ORD00043,U0167,I0045|I0037|I0043,2024-12-16 13:01:55
ORD00044,U0241,I0597|I0601|I0605,2024-05-31 12:06:01
ORD00045,U0251,I0096|I0104,2024-07-11 14:48:19
ORD00046,U0174,I0169|I0159|I0170,2024-07-11 17:50:32
ORD00047,U0039,I0546|I0549|I0553,2024-08-10 12:14:01
ORD00048,U0048,I0597|I0601|I0603,2024-08-07 19:30:39
ORD00049,U0219,I0204|I0211,2024-11-15 11:51:12
ORD00050,U0154,I0434|I0443,2024-06-09 12:39:19
ORD00051,U0264,I0472|I0476,2024-12-08 01:45:04
ORD00052,U0265,I0184|I0175|I0187,2024-12-29 17:51:29
ORD00053,U0223,I0574|I0587,2024-03-18 12:09:30
ORD00054,U0124,I0142|I0149,2024-06-08 11:53:10
ORD00055,U0033,I0206|I0210|I0217,2024-04-09 18:15:21
ORD00056,U0208,I0235|I0239|I0242,2024-11-05 19:29:44
ORD00057,U0249,I0562|I0566|I0564|I0567,2024-03-02 10:01:43
ORD00058,U0133,I0266|I0278,2024-11-27 04:46:18
ORD00059,U0249,I0017|I0023|I0027,2024-04-25 20:57:01
ORD00060,U0209,I0364|I0373,2024-11-22 18:08:03
ORD00061,U0121,I0121|I0114|I0124,2024-07-11 20:15:34
ORD00062,U0063,I0321|I0325,2024-11-08 19:15:17
ORD00063,U0217,I0205|I0209|I0213,2024-06-19 12:55:27
ORD00064,U0029,I0509|I0500|I0508,2024-06-13 13:15:41
ORD00065,U0143,I0142|I0146,2024-01-09 17:57:33
ORD00066,U0018,I0049|I0058,2024-08-02 12:40:50
ORD00067,U0186,I0121|I0113|I0119,2024-01-04 21:25:02
ORD00068,U0131,I0303|I0308|I0310,2024-11-29 20:58:40
ORD00069,U0225,I0320|I0322|I0332,2024-12-02 07:49:56
ORD00070,U0252,I0485|I0493,2024-06-13 20:52:11
ORD00071,U0052,I0160|I0165,2024-05-16 13:46:19
ORD00072,U0281,I0329|I0317|I0328,2024-09-06 08:28:32
ORD00073,U0070,I0014|I0003|I0012,2024-02-01 07:15:29
ORD00074,U0265,I0128|I0131|I0139,2024-07-04 20:08:21
ORD00075,U0134,I0174|I0182,2024-03-18 07:23:48
ORD00076,U0094,I0399|I0400|I0409,2024-01-09 21:41:48
ORD00077,U0118,I0080|I0086|I0085|I0088,2024-06-04 17:38:58
ORD00078,U0134,I0142|I0145|I0150,2024-02-15 01:33:10
ORD00079,U0223,I0480|I0468|I0473|I0478,2024-03-19 08:55:07
ORD00080,U0137,I0289|I0295,2024-06-16 20:38:14
ORD00081,U0111,I0287|I0296,2024-03-11 12:09:08
ORD00082,U0015,I0287|I0294|I0292|I0296,2024-08-14 18:29:01
ORD00083,U0044,I0014|I0004|I0012,2024-03-23 18:45:43
ORD00084,U0217,I0610|I0617,2024-01-23 05:59:40
ORD00085,U0121,I0487|I0496,2024-01-03 10:39:04
ORD00086,U0196,I0304|I0307|I0309|I0310,2024-08-13 08:10:48
ORD00087,U0258,I0501|I0511,2024-02-04 11:33:47
ORD00088,U0222,I0142|I0145,2024-02-19 14:53:55
ORD00089,U0144,I0366|I0378,2024-08-26 19:59:10
ORD00090,U0136,I0530|I0535,2024-10-13 23:48:08
ORD00091,U0078,I0562|I0564|I0572,2024-02-27 05:11:46
ORD00092,U0019,I0486|I0489,2024-02-15 23:59:20
ORD00093,U0254,I0045|I0036|I0042,2024-02-13 20:55:27
ORD00094,U0076,I0111|I0116,2024-03-11 20:47:34
ORD00095,U0261,I0280|I0269|I0283,2024-07-23 19:11:08
ORD00096,U0214,I0067|I0071|I0072,2024-12-10 12:18:59
ORD00097,U0063,I0395|I0401,2024-02-29 02:29:28
ORD00098,U0246,I0480|I0472|I0481,2024-05-07 22:41:53
ORD00099,U0232,I0329|I0318,2024-12-01 05:41:31
ORD00100,U0145,I0329|I0321|I0325|I0326,2024-06-03 10:15:50
ORD00101,U0205,I0080|I0085|I0089,2024-10-29 12:41:49
ORD00102,U0079,I0113|I0117,2024-11-09 21:57:23
ORD00103,U0068,I0351|I0359,2024-03-18 13:56:06
ORD00104,U0199,I0487|I0489,2024-02-05 19:51:59
ORD00105,U0189,I0628|I0630|I0634,2024-07-18 12:29:21
ORD00106,U0115,I0144|I0154,2024-04-22 13:05:54
ORD00107,U0245,I0303|I0309|I0311,2024-11-22 09:27:08
ORD00108,U0152,I0574|I0580|I0587,2024-02-11 14:26:16
ORD00109,U0049,I0472|I0477,2024-05-18 10:05:19
ORD00110,U0258,I0020|I0022|I0025,2024-11-23 12:05:20
ORD00111,U0214,I0305|I0309,2024-06-23 17:16:06
ORD00112,U0175,I0172|I0179|I0183,2024-02-11 13:01:24
ORD00113,U0003,I0396|I0402|I0404,2024-06-27 18:55:48
ORD00114,U0250,I0314|I0305|I0316,2024-02-04 07:00:07
ORD00115,U0098,I0121|I0110|I0115|I0119,2024-09-08 08:15:23
ORD00116,U0224,I0546|I0550|I0552,2024-07-03 13:07:54
ORD00117,U0086,I0143|I0149,2024-07-02 02:28:52
ORD00118,U0300,I0238|I0240|I0242,2024-05-09 00:40:29
ORD00119,U0222,I0416|I0421|I0431,2024-10-10 15:18:45
ORD00120,U0019,I0502|I0505,2024-10-08 17:43:37
ORD00121,U0250,I0223|I0227,2024-06-12 16:35:02
ORD00122,U0033,I0268|I0274|I0283,2024-07-11 17:41:57
ORD00123,U0178,I0453|I0461,2024-04-21 18:30:18
ORD00124,U0177,I0454|I0460|I0463,2024-05-11 21:54:06
ORD00125,U0240,I0128|I0131|I0139,2024-11-05 13:54:10
ORD00126,U0083,I0625|I0633|I0634,2024-03-08 08:38:24
ORD00127,U0252,I0107|I0097|I0100|I0103,2024-08-04 04:01:11
ORD00128,U0184,I0251|I0255,2024-11-17 20:32:27
ORD00129,U0017,I0064|I0071,2024-03-29 07:14:22
ORD00130,U0250,I0252|I0255|I0257|I0259,2024-12-14 08:44:11
ORD00131,U0264,I0610|I0619,2024-11-06 13:53:51
ORD00132,U0057,I0106|I0099|I0100|I0105,2024-02-10 08:07:09
ORD00133,U0106,I0366|I0371|I0373,2024-10-22 14:46:32
ORD00134,U0051,I0152|I0141|I0154,2024-11-25 08:26:46
ORD00135,U0004,I0237|I0240|I0249,2024-07-15 08:17:10
ORD00136,U0191,I0416|I0418,2024-02-28 19:33:08
ORD00137,U0216,I0222|I0225|I0228,2024-12-14 13:54:29
ORD00138,U0265,I0376|I0365,2024-10-26 01:51:08
ORD00139,U0265,I0066|I0070|I0072,2024-06-17 06:48:48
ORD00140,U0019,I0140|I0155,2024-06-11 12:43:31
ORD00141,U0284,I0304|I0311,2024-01-04 19:57:14
ORD00142,U0271,I0628|I0640,2024-09-07 09:34:25
ORD00143,U0227,I0352|I0354|I0363,2024-02-02 03:21:18
ORD00144,U0200,I0137|I0126|I0133,2024-07-17 15:33:30
ORD00145,U0175,I0160|I0163|I0165,2024-11-19 19:46:10
ORD00146,U0217,I0513|I0520|I0523,2024-08-31 14:07:57
ORD00147,U0025,I0121|I0113|I0119,2024-04-01 19:37:11
ORD00148,U0290,I0545|I0550|I0558,2024-04-20 18:52:46
ORD00149,U0294,I0129|I0135,2024-04-06 07:33:35
